cv_id,job_id,score
6364,37,0.3979432681401132
146,37,0.3860609728504453
3878,37,0.3836991525078034
4758,37,0.3834268145549328
8411,37,0.3811042005629236
1198,37,0.37859130885019565
8380,37,0.37843557751793666
5075,37,0.37506051737580737
2584,37,0.3741482204219673
3504,37,0.3740769359832513
2372,37,0.37385042790640166
6531,37,0.3738118354470105
5991,37,0.3727291338134979
3874,37,0.3721865839077278
5327,37,0.37091556686318367
6848,37,0.37083655886427214
6060,37,0.3695264751661774
1543,37,0.368290545102504
9922,37,0.3677741903240114
5662,37,0.36777105835797863
6799,37,0.3676998038379177
9467,37,0.3675580264826115
9559,37,0.36458024604575834
5361,37,0.3639600636651438
1016,37,0.36331573347230145
7012,37,0.3622075942740708
3669,37,0.3621626392375093
8469,37,0.357721316339719
930,37,0.35649525468328924
3030,37,0.3564253621393526
4762,37,0.35455514409219807
96,37,0.35418418385453254
8052,37,0.3528896561972704
1054,37,0.32511125413919323
1636,37,0.323990191088077
5284,37,0.31259198843367897
8020,37,0.3075630801021614
3113,37,0.2979906342178947
486,37,0.29554349142324526
922,37,0.29521364914787135
90,81,0.2945500783581753
8686,81,0.29447065690479396
430,37,0.2886220526141731
6116,37,0.2882430004899722
4992,37,0.28817329861442414
6561,37,0.2877857860537489
9839,37,0.2877127817109412
7212,37,0.2874664443011756
9711,37,0.28691131230720446
2315,37,0.2864658394934787
645,37,0.2861236499172127
3143,37,0.284200056559488
8834,81,0.28392917470452556
7932,37,0.28371961191886547
890,37,0.2821592725739351
1411,37,0.2815730445068162
2124,37,0.2802113603903097
2387,37,0.280202421517204
4675,37,0.27959141266597043
1326,37,0.27938239027986067
5488,37,0.27882760780532845
1500,37,0.27872117764921656
5269,37,0.2786202766667661
7540,37,0.2785876220125015
6073,37,0.27778282938037707
5611,37,0.27741101807273777
2650,37,0.2773871100950332
2316,37,0.2773702279463786
9517,37,0.2771612512194934
551,37,0.2769872178751712
6754,37,0.27691437054473156
8952,37,0.27662450341886424
5855,37,0.2764869960802552
8059,37,0.2763793366326641
5578,37,0.27573094375566504
815,37,0.27516453262800944
1047,37,0.2751472582230461
7917,81,0.27494700260938604
3998,37,0.2742410284026337
3749,37,0.2738086258884985
5213,81,0.2724010628419298
3561,81,0.27173265358107884
8639,37,0.2708389088232422
2532,37,0.27073461089460715
7358,81,0.27064250209353485
1993,37,0.2701471746191432
7205,37,0.26969723052482814
4937,37,0.2693160917219798
9349,37,0.2688314295728396
7937,37,0.26869735922277954
1626,37,0.2685685007326577
4891,37,0.26819227963816517
4292,37,0.26818351942755747
5175,37,0.26813172115179035
7334,2,0.26750976049124897
8369,37,0.26726345543217506
3680,37,0.2671410364093648
6257,81,0.26704759150070195
5490,37,0.26701154578539604
5747,37,0.26692799219687474
4465,37,0.2667662183585457
6970,37,0.26644958589349454
4804,37,0.26618663349686583
3660,37,0.2660751044995837
3849,37,0.2659099460987025
8622,37,0.26577502126309827
8671,37,0.2650823194680445
7724,37,0.2648454474132816
2628,37,0.26451789427644884
1098,37,0.26403294416173
2599,37,0.2638855296327997
4544,37,0.26338808131271646
3316,37,0.2633226822547424
1453,37,0.2633190779322289
5561,37,0.2628720657511572
7195,37,0.26274273261030984
7135,2,0.2627378919026502
959,37,0.26217074554337794
6300,37,0.2615552713136627
1460,37,0.26138066085281214
6775,37,0.2612727205262514
8735,37,0.2612303017811595
1018,37,0.26071250575805144
9704,37,0.2604472246392572
7622,37,0.2602217676535681
8851,37,0.2596060557226507
5522,37,0.2589262213162091
3906,37,0.25871048181525275
1974,37,0.25808816120127653
1325,37,0.2578517701478363
3363,37,0.2576886276233658
2915,5,0.25748126663222143
9979,81,0.2563281715164851
4752,37,0.25615028888368296
9026,37,0.2559811240980027
4712,81,0.2559350014154215
4988,5,0.25590872452594454
5900,37,0.25583350343789985
132,81,0.2557707164096209
3761,81,0.2557302136502928
7571,37,0.25376762358822835
9190,37,0.25340052179856126
7440,37,0.2533358544904395
3790,37,0.2532187244395907
145,5,0.2523338093911206
2325,37,0.25230519794373174
1963,37,0.252071339426041
1677,37,0.25162299999959165
8383,3,0.25133844363853075
7416,3,0.2510491004730068
7408,37,0.2510450617745401
5942,37,0.25075086722087153
427,5,0.250586837154855
7271,37,0.25053188140988736
8481,37,0.2505103342543588
8157,2,0.2504462163185416
4578,37,0.25044092313028765
4833,37,0.2503022928734599
9038,5,0.24981187934398488
98,37,0.2497800625508498
4373,81,0.24953974724339306
6794,37,0.24953448923835073
8279,37,0.2489656670306652
3875,37,0.24884389406651614
1280,3,0.24877739548758193
5285,37,0.24819285859318668
825,37,0.24786647281032143
2782,81,0.24731607032403768
3770,5,0.24683887079585107
1252,5,0.2458351577618885
2380,37,0.245581659575302
8859,3,0.2449875263474955
6596,5,0.2448714856325265
231,37,0.2442558640540084
6232,37,0.24405279331051508
8305,5,0.24343377658202403
6659,37,0.24337437356700115
4786,5,0.24295053575255607
1546,37,0.24198388983234265
3938,37,0.2419203394273707
5907,37,0.24190583452849967
2704,3,0.24115923036212683
5537,5,0.2411486183758965
6017,3,0.2406779502316586
8700,37,0.24056618545831743
3717,3,0.2389599262699761
3016,12,0.23882435267690671
1725,5,0.23758258990340844
4329,3,0.23711387756831936
894,5,0.23675282924605034
